Subpopulat,POINT_X,POINT_Y,CID,sex
1,2537052.671,732786.784,1,0
1,2537811.579,730352.3399,4,1
1,2540089.964,724743.2734,10,0
1,2540360.031,720204.8587,12,1
2,2535539.266,720053.8239,3,0
2,2540635.156,718119.6489,7,1
2,2533103.051,720845.1869,11,1
2,2531110.349,722708.3079,16,0
2,2530649.723,724097.8109,17,0
3,2545419.472,725899.8718,11,1
3,2543061.82,717393.0273,13,0
3,2545553.906,730129.3686,17,0
4,2534292.996,705982.6266,1,1
4,2536896.769,708013.3573,2,1
4,2539744.581,711671.8354,4,1
4,2532353.455,705395.3622,6,0
4,2530767.149,704924.8048,9,0
4,2534792.745,706440.8258,10,1
4,2541982.299,714688.8602,11,0
4,2528930.897,704222.4564,12,1
4,2533382.204,705457.5192,13,1
4,2535583.717,706722.6089,14,0
4,2537973.93,709503.6112,15,0
4,2541097.141,712928.9553,16,0
5,2527236.398,708131.07,0,1
5,2527680.796,705036.2732,12,1
5,2527023.082,712645.5217,14,0
5,2526509.144,716435.6515,16,0
5,2527413.927,706668.6023,17,1
5,2526514.523,716345.8117,19,0
